        Pin Assignment Report - vp_project
        __________________________________

ACE -- Achronix CAD Environment -- Version 9.0.1 -- Date 2023-06-12 14:46

Design: vp_project
Device: AC7t1500
Generated on: 2023-06-12T14:46:13.616606388
Host: fe22.achronix.local

Pin Assignment =======
   Port Name                 Direction  Ball Name             Bump Name             Bank                Ball  Pad/Macro Site                                                                                                                Site Polarity  Clock Capable Site  Reset Capable Site  Data Capable Site  Used As Clock  Used As Reset
   ethernet_0_refclk_n[0]    IN         SRDS_N6_REFCLK_N      SRDS_N0_REFCLK_N      BANK_SRDS_N0        G36   u_eth_pciex8_sys_top_u0.u_eth_sys_top.u_serdes_8lane_top_inst0.u0_serdes_4lane_top.inst_mss_4lane.uafe_top                    N              Yes                 No                  No                 Yes            No           
   ethernet_0_refclk_n[1]    IN         SRDS_N7_REFCLK_N      SRDS_N1_REFCLK_N      BANK_SRDS_N1        J36   u_eth_pciex8_sys_top_u0.u_eth_sys_top.u_serdes_8lane_top_inst0.u1_serdes_4lane_top.inst_mss_4lane.uafe_top                    N              Yes                 No                  No                 Yes            No           
   ethernet_0_refclk_p[0]    IN         SRDS_N6_REFCLK_P      SRDS_N0_REFCLK_P      BANK_SRDS_N0        G37   u_eth_pciex8_sys_top_u0.u_eth_sys_top.u_serdes_8lane_top_inst0.u0_serdes_4lane_top.inst_mss_4lane.uafe_top                    P              Yes                 No                  No                 Yes            No           
   ethernet_0_refclk_p[1]    IN         SRDS_N7_REFCLK_P      SRDS_N1_REFCLK_P      BANK_SRDS_N1        J37   u_eth_pciex8_sys_top_u0.u_eth_sys_top.u_serdes_8lane_top_inst0.u1_serdes_4lane_top.inst_mss_4lane.uafe_top                    P              Yes                 No                  No                 Yes            No           
   ethernet_0_rx_n[0]        IN         SRDS_N6_RX_N0         SRDS_N0_RX_N0         BANK_SRDS_N0        D36   u_eth_pciex8_sys_top_u0.u_eth_sys_top.u_serdes_8lane_top_inst0.u0_serdes_4lane_top.inst_mss_4lane.u_bump_conv_0               N              No                  No                  Yes                No             No           
   ethernet_0_rx_n[1]        IN         SRDS_N6_RX_N2         SRDS_N0_RX_N2         BANK_SRDS_N0        D40   u_eth_pciex8_sys_top_u0.u_eth_sys_top.u_serdes_8lane_top_inst0.u0_serdes_4lane_top.inst_mss_4lane.u_bump_conv_2               N              No                  No                  Yes                No             No           
   ethernet_0_rx_n[2]        IN         SRDS_N6_RX_N1         SRDS_N0_RX_N1         BANK_SRDS_N0        D38   u_eth_pciex8_sys_top_u0.u_eth_sys_top.u_serdes_8lane_top_inst0.u0_serdes_4lane_top.inst_mss_4lane.u_bump_conv_1               N              No                  No                  Yes                No             No           
   ethernet_0_rx_n[3]        IN         SRDS_N6_RX_N3         SRDS_N0_RX_N3         BANK_SRDS_N0        D42   u_eth_pciex8_sys_top_u0.u_eth_sys_top.u_serdes_8lane_top_inst0.u0_serdes_4lane_top.inst_mss_4lane.u_bump_conv_3               N              No                  No                  Yes                No             No           
   ethernet_0_rx_n[4]        IN         SRDS_N7_RX_N0         SRDS_N1_RX_N0         BANK_SRDS_N1        D44   u_eth_pciex8_sys_top_u0.u_eth_sys_top.u_serdes_8lane_top_inst0.u1_serdes_4lane_top.inst_mss_4lane.u_bump_conv_0               N              No                  No                  Yes                No             No           
   ethernet_0_rx_n[5]        IN         SRDS_N7_RX_N2         SRDS_N1_RX_N2         BANK_SRDS_N1        D48   u_eth_pciex8_sys_top_u0.u_eth_sys_top.u_serdes_8lane_top_inst0.u1_serdes_4lane_top.inst_mss_4lane.u_bump_conv_2               N              No                  No                  Yes                No             No           
   ethernet_0_rx_n[6]        IN         SRDS_N7_RX_N1         SRDS_N1_RX_N1         BANK_SRDS_N1        D46   u_eth_pciex8_sys_top_u0.u_eth_sys_top.u_serdes_8lane_top_inst0.u1_serdes_4lane_top.inst_mss_4lane.u_bump_conv_1               N              No                  No                  Yes                No             No           
   ethernet_0_rx_n[7]        IN         SRDS_N7_RX_N3         SRDS_N1_RX_N3         BANK_SRDS_N1        D50   u_eth_pciex8_sys_top_u0.u_eth_sys_top.u_serdes_8lane_top_inst0.u1_serdes_4lane_top.inst_mss_4lane.u_bump_conv_3               N              No                  No                  Yes                No             No           
